,,diseaseCombinations,Estimate,Std. Error,z value,Pr(>|z|),oddsRatio
one,1,mediastinum,2.78908517343796,0.279845733636413,9.96650953793584,2.13603964215778e-23,16.2661323031946
one,5,digestive,2.45499673815069,0.106699151733886,23.0085872123294,3.8242950917603504e-117,11.6463955600302
one,8,hematopoietic,1.73625538784344,0.147967147087278,11.734060039823,8.52683265403388e-32,5.67604897583639
one,9,cardiovascular,1.56841057444294,0.149238634297104,10.5094138781821,7.81778994997791e-26,4.79901445253097
one,11,breast,1.54253254407309,0.12901436667717,11.9562850541517,6.01951370845905e-33,4.67641852289497
one,14,genitourinary,1.23894586215554,0.283462371368574,4.37075953388038,1.23815089514314e-05,3.45197269110941
one,20,socialFactor,0.398130782707524,0.159541701645741,2.4954653147148,0.0125792052719189,1.48903875769383
one,22,maleG,0.190322838903274,0.523470886392178,0.363578651364932,0.716172671022159,1.20964005349492
one,23,maleSAB,0.15095156349159,0.52302338594627,0.288613411078137,0.772877231498811,1.16294032794864
twoOrMore,0,digestive_mediastinum_nervous,5.78702237149491,1.39269369948763,4.15527288852097,3.24899531553118e-05,326.040749328371
twoOrMore,2,breast_digestive_mediastinum,2.68535213425138,1.13282560216832,2.37049032888328,0.0177645086775203,14.6633639439367
twoOrMore,3,cardiovascular_endocrine_hematopoietic,2.58054911422834,1.20571518368672,2.14026425904149,0.0323334166591021,13.2043868860025
twoOrMore,4,breast_digestive_respiratory,2.46970811056933,1.28168986239016,1.92691553786943,0.0539901567818836,11.8189965079496
twoOrMore,6,breast_digestive_endocrine,2.27504974484827,0.74849852442213,3.03948460901069,0.002369833110721,9.72840293845149
twoOrMore,7,cardiovascular_digestive_respiratory,2.22920180074426,1.70560532011712,1.30698572199058,0.191217560685795,9.29244589508726
twoOrMore,10,digestive_genitourinary,1.55082061248007,0.57639193162685,2.69056613631445,0.0071330894756878,4.71533806061951
twoOrMore,12,breast_respiratory,1.5050377442688,0.432448295670724,3.48027211422929,0.000500904749783,4.50432363948226
twoOrMore,13,digestive_musculoskeletal_nervous,1.38946703774603,1.04663885927374,1.32755154792378,0.184326300025141,4.01271085956593
twoOrMore,15,digestive_hematopoietic_integument,1.17472437353397,1.34824453479263,0.871299191815116,0.383590811651511,3.23725054893131
twoOrMore,16,cardiovascular_hematopoietic_respiratory,1.09600562683018,1.37343690119127,0.798002169505966,0.424869231127709,2.99219019766517
twoOrMore,17,breast_digestive_hematopoietic,0.774921478231906,0.887176630806074,0.873469218331219,0.38240737705376,2.17042169514321
twoOrMore,18,breast_integument_musculoskeletal,0.490189073681813,1.22609551074495,0.399796809780328,0.6893061806417,1.63262487717153
twoOrMore,19,breast_genitourinary_respiratory,0.408944710563015,1.31336832412822,0.311370925467128,0.75551865419455,1.50522849494881
twoOrMore,21,digestive_hematopoietic_musculoskeletal,0.396738579944797,1.01175252200814,0.39213006275225,0.694962115831821,1.48696715620082
twoOrMore,24,cardiovascular_musculoskeletal,-0.456308053443844,0.663864498003609,-0.687351191118166,0.491861447274744,0.633618618633679
twoOrMore,25,breast_musculoskeletal_respiratory,-1.57548930172682,1.10857954644863,-1.42117839606003,0.155264903606394,0.206906288304598
twoOrMore,26,digestive_respiratory,-1.62348052698006,1.0528525906519,-1.54198274420814,0.123077786894285,0.19721110461182
twoOrMore,27,breast_genitourinary_mediastinum,-15.4164478306242,1515.31891748259,-0.0101737315180065,0.991882676726609,2.01707374561539e-07
twoOrMore,28,breast_digestive_nervous,-15.5421753907202,245.080153316673,-0.0634167033943291,0.949434686637686,1.77876670221404e-07
twoOrMore,29,breast_cardiovascular_respiratory,-16.6848105392572,228.477184260569,-0.0730261561707137,0.941785303460317,5.67386307843439e-08
twoOrMore,30,digestive_endocrine_genitourinary,-16.8657567216964,826.922031872334,-0.0203958246021195,0.983727614643625,4.73472677763388e-08
