,,Have No Liver Cancer,Have Liver Cancer,pValue
Total (%),,408190 (0.995),2171 (0.005),
,,,,
Age,Mean (Standart Deviation),55 (16.8),66 (11.8),
,,,,
Age Category,,,,
,<40,24.89,3.64,
,41-64,41.38,34.87,
,65-84,31.8,58.36,
,>85,1.93,3.13,
,,,,
,,,,
Gender,,,,
,Female,59.89,52.1,
,Male,37.03,45.28,0.716
,Others,3.08,2.62,
,,,,
,,,,
,,,,
Race,Asian,3.46,2.53,
,Black or African American,19.1,17.13,
,White,55.2,58.64,
,Others,22.24,21.7,
,,,,
,,,,
Ethnicity,Hispanic or Latino,18.02,17.13,
,Not Hispanic or Latino,78.07,79.18,
,Others,3.9,3.73,
